,v1_unit,dlgn_unit,upper_bound,ampc,loss
227,1,1_1,0.1,0.02605,0.1015
228,1,1_1,0.1,0.02187,0.1125
229,1,1_1,0.1,0.01976,0.1213
230,1,1_1,0.1,0.0194,0.0734
231,1,1_1,0.1,0.01425,0.0937
232,1,1_1,0.1,0.02261,0.08484
233,1,1_1,0.1,0.0198,0.0834
234,1,1_1,0.1,0.01634,0.098
235,1,1_1,0.1,0.01895,0.0719
236,1,1_1,0.1,0.01796,0.08716
237,1,1_1,0.1,0.02736,0.1206
238,1,1_1,0.1,0.02101,0.07416
239,1,1_1,0.1,0.02164,0.0835
240,1,1_1,0.1,0.01837,0.08
241,1,1_1,0.1,0.02043,0.07825
242,1,1_1,0.1,0.0254,0.0788
243,1,1_1,0.1,0.01502,0.06824
244,1,1_1,0.1,0.01964,0.08704
245,1,1_1,0.1,0.01927,0.109
246,1,1_1,0.1,0.01671,0.07623
247,1,1_1,0.1,0.01944,0.0741
248,1,1_1,0.1,0.02168,0.076
249,1,1_1,0.1,0.014915,0.1477
250,1,1_1,0.1,0.01701,0.1816
251,1,1_1,0.1,0.02838,0.1254
252,1,1_1,0.1,0.01535,0.07227
253,1,1_1,0.1,0.02364,0.1245
254,1,1_1,0.1,0.02179,0.09827
255,1,1_1,0.1,0.01721,0.0774
256,1,1_1,0.1,0.02254,0.1495
257,1,1_1,0.1,0.02654,0.08813
258,1,1_1,0.1,0.02153,0.0807
259,1,1_1,0.1,0.01848,0.0713
260,1,1_1,0.1,0.01581,0.0736
261,1,1_1,0.1,0.0193,0.1445
262,1,1_1,0.1,0.01918,0.0686
263,1,1_1,0.1,0.0157,0.0774
264,1,1_1,0.1,0.0169,0.1184
265,1,1_1,0.1,0.01964,0.0725
266,1,1_1,0.1,0.01291,0.0774
267,1,1_1,0.1,0.02206,0.0772
268,1,1_1,0.1,0.01732,0.07056
269,1,1_1,0.1,0.02975,0.09937
270,1,1_1,0.1,0.02145,0.0728
271,1,1_1,0.1,0.02788,0.10706
272,1,1_1,0.1,0.02097,0.0843
273,1,1_1,0.1,0.02695,0.0905
274,1,1_1,0.1,0.0139,0.0684
275,1,1_1,0.1,0.01674,0.0703
276,1,1_1,0.1,0.02025,0.0761
277,1,1_1,0.1,0.0213,0.0947
278,1,1_1,0.1,0.0183,0.0685
279,1,1_1,0.1,0.01797,0.09375
280,1,1_1,0.1,0.01706,0.0683
281,1,1_1,0.1,0.01733,0.0692
282,1,1_1,0.1,0.01773,0.162
283,1,1_1,0.1,0.01817,0.0718
284,1,1_1,0.1,0.01332,0.0728
285,1,1_1,0.1,0.01805,0.078
286,1,1_1,0.1,0.02025,0.1537
287,1,1_1,0.1,0.02592,0.08844
288,1,1_1,0.1,0.02426,0.0791
289,1,1_1,0.1,0.01996,0.0778
290,1,1_1,0.1,0.01842,0.0692
291,1,1_1,0.1,0.02095,0.0703
292,1,1_1,0.1,0.019,0.0869
293,1,1_1,0.1,0.02066,0.07935
294,1,1_1,0.1,0.02159,0.0701
295,1,1_1,0.1,0.02237,0.09705
296,1,1_1,0.1,0.01613,0.06915
297,1,1_1,0.1,0.02159,0.07294
298,1,1_1,0.1,0.02646,0.0952
299,1,1_1,0.1,0.0174,0.07605
300,1,1_1,0.1,0.01955,0.0694
301,1,1_1,0.1,0.02295,0.10754
302,1,1_1,0.1,0.02065,0.06934
303,1,1_1,0.1,0.0154,0.07306
304,1,1_1,0.1,0.02051,0.0953
305,1,1_1,0.1,0.02167,0.09515
306,1,1_1,0.1,0.02019,0.0822
307,1,1_1,0.1,0.01646,0.0704
308,1,1_1,0.1,0.01929,0.1511
309,1,1_1,0.1,0.02197,0.07306
310,1,1_1,0.1,0.01456,0.0717
311,1,1_1,0.1,0.01762,0.1664
312,1,1_1,0.1,0.01964,0.0688
313,1,1_1,0.1,0.02031,0.10065
314,1,1_1,0.1,0.01793,0.0744
315,1,1_1,0.1,0.02768,0.11725
316,1,1_1,0.1,0.02792,0.1084
317,1,1_1,0.1,0.02199,0.08997
318,1,1_1,0.1,0.02,0.09924
319,1,1_1,0.1,0.01807,0.078
320,1,1_1,0.1,0.01877,0.0726
321,1,1_1,0.1,0.02081,0.06866
322,1,1_1,0.1,0.01851,0.07214
323,1,1_1,0.1,0.02316,0.1222
324,1,1_1,0.1,0.02711,0.093
325,1,1_1,0.1,0.01915,0.1156
326,1,1_1,0.1,0.02603,0.1326
327,1,1_1,0.1,0.0213,0.0929
328,1,1_1,0.1,0.0307,0.1072
329,1,1_1,0.1,0.01459,0.0703
330,1,1_1,0.1,0.01889,0.0767
331,1,1_1,0.1,0.02095,0.1078
332,1,1_1,0.1,0.01839,0.0866
333,1,1_1,0.1,0.02072,0.0954
334,1,1_1,0.1,0.01775,0.0727
335,1,1_1,0.1,0.01863,0.0761
336,1,1_1,0.1,0.01913,0.06885
337,1,1_1,0.1,0.02422,0.0816
338,1,1_1,0.1,0.02481,0.1195
339,1,1_1,0.1,0.01598,0.07306
340,1,1_1,0.1,0.01971,0.1404
341,1,1_1,0.1,0.01768,0.0687
342,1,1_1,0.1,0.02274,0.1148
343,1,1_1,0.1,0.0185,0.07745
344,1,1_1,0.1,0.02136,0.0863
345,1,1_1,0.1,0.0183,0.0742
346,1,1_1,0.1,0.01859,0.07275
347,1,1_1,0.1,0.01863,0.06946
348,1,1_1,0.1,0.02115,0.09326
349,1,1_1,0.1,0.02249,0.08154
350,1,1_1,0.1,0.01839,0.088
351,1,1_1,0.1,0.021,0.0831
352,1,1_1,0.1,0.02194,0.07666
353,1,1_1,0.1,0.01706,0.0734
354,1,1_1,0.1,0.01776,0.07263
355,1,1_1,0.1,0.01956,0.07855
356,1,1_1,0.1,0.02234,0.0951
357,1,1_1,0.1,0.01968,0.0759
358,1,1_1,0.1,0.01978,0.07874
359,1,1_1,0.1,0.02133,0.0774
360,1,1_1,0.1,0.01825,0.0723
361,1,1_1,0.1,0.01782,0.1345
362,1,1_1,0.1,0.02101,0.0719
363,1,1_1,0.1,0.02435,0.07776
364,1,1_1,0.1,0.01993,0.0806
365,1,1_1,0.1,0.02011,0.1233
366,1,1_1,0.1,0.01901,0.0712
367,1,1_1,0.1,0.02174,0.06964
368,1,1_1,0.1,0.015396,0.08563
369,1,1_1,0.1,0.02432,0.0778
370,1,1_1,0.1,0.01971,0.0777
371,1,1_1,0.1,0.01752,0.07385
372,1,1_1,0.1,0.02159,0.08563
373,1,1_1,0.1,0.02089,0.09076
374,1,1_1,0.1,0.01907,0.1188
375,1,1_1,0.1,0.0276,0.1381
376,1,1_1,0.1,0.02364,0.07477
377,1,1_1,0.1,0.0222,0.08
378,1,1_1,0.1,0.01633,0.06995
379,1,1_1,0.1,0.01807,0.0794
380,1,1_1,0.1,0.02545,0.08966
381,1,1_1,0.1,0.01718,0.0698
382,1,1_1,0.1,0.02153,0.10175
383,1,1_1,0.1,0.0222,0.08813
384,1,1_1,0.1,0.02664,0.09564
385,1,1_1,0.1,0.01736,0.08984
386,1,1_1,0.1,0.02379,0.10095
387,1,1_1,0.1,0.01735,0.0734
388,1,1_1,0.1,0.01561,0.0715
389,1,1_1,0.1,0.01668,0.122
390,1,1_1,0.1,0.0225,0.1087
391,1,1_1,0.1,0.02287,0.118
392,1,1_1,0.1,0.01846,0.07794
393,1,1_1,0.1,0.01904,0.0726
394,1,1_1,0.1,0.02257,0.08295
395,1,1_1,0.1,0.01898,0.06836
396,1,1_1,0.1,0.02304,0.1288
397,1,1_1,0.1,0.02017,0.0711
398,1,1_1,0.1,0.01915,0.08563
399,1,1_1,0.1,0.02003,0.0687
400,1,1_1,0.1,0.0206,0.0781
401,1,1_1,0.1,0.0204,0.094
402,1,1_1,0.1,0.0215,0.0916
403,1,1_1,0.1,0.01836,0.0741
404,1,1_1,0.1,0.02246,0.1002
405,1,1_1,0.1,0.01863,0.0728
406,1,1_1,0.1,0.02475,0.1053
407,1,1_1,0.1,0.01726,0.0877
408,1,1_1,0.1,0.01886,0.0892
409,1,1_1,0.1,0.0183,0.1543
410,1,1_1,0.1,0.01593,0.1445
411,1,1_1,0.1,0.01678,0.0747
412,1,1_1,0.1,0.01973,0.07336
413,1,1_1,0.1,0.01744,0.0764
414,1,1_1,0.1,0.02013,0.0931
415,1,1_1,0.1,0.01945,0.0737
416,1,1_1,0.1,0.0199,0.0715
417,1,1_1,0.1,0.02222,0.11163
418,1,1_1,0.1,0.02354,0.07996
419,1,1_1,0.1,0.01611,0.0751
420,1,1_1,0.1,0.02097,0.0862
421,1,1_1,0.1,0.01936,0.08923
422,1,1_1,0.1,0.01845,0.0748
