,v1_unit,dlgn_unit,upper_bound,ampw,loss
501,1,1_1,0.08,0.04163,0.0979
502,1,1_1,0.08,0.05136,0.09534
503,1,1_1,0.08,0.06573,0.0948
504,1,1_1,0.08,0.04892,0.11725
505,1,1_1,0.08,0.0566,0.0986
506,1,1_1,0.08,0.06226,0.11206
507,1,1_1,0.08,0.02902,0.0775
508,1,1_1,0.08,0.05905,0.1095
509,1,1_1,0.08,0.02855,0.0766
510,1,1_1,0.08,0.02296,0.0779
511,1,1_1,0.08,0.04138,0.1038
512,1,1_1,0.08,0.04135,0.0825
513,1,1_1,0.08,0.0688,0.1129
514,1,1_1,0.08,0.05774,0.1312
515,1,1_1,0.08,0.0447,0.09863
516,1,1_1,0.08,0.03592,0.09875
517,1,1_1,0.08,0.05096,0.09265
518,1,1_1,0.08,0.05435,0.1166
519,1,1_1,0.08,0.05997,0.1153
520,1,1_1,0.08,0.0594,0.12103
521,1,1_1,0.08,0.01892,0.07416
522,1,1_1,0.08,0.06506,0.1188
523,1,1_1,0.08,0.01564,0.1017
524,1,1_1,0.08,0.0204,0.073
525,1,1_1,0.08,0.02487,0.0742
526,1,1_1,0.08,0.0596,0.10675
527,1,1_1,0.08,0.02403,0.07385
528,1,1_1,0.08,0.06824,0.1085
529,1,1_1,0.08,0.05463,0.1339
530,1,1_1,0.08,0.0518,0.1019
531,1,1_1,0.08,0.0268,0.0824
532,1,1_1,0.08,0.02002,0.0843
533,1,1_1,0.08,0.0714,0.1013
534,1,1_1,0.08,0.02385,0.0751
535,1,1_1,0.08,0.0293,0.0803
536,1,1_1,0.08,0.03384,0.0783
537,1,1_1,0.08,0.04044,0.0998
538,1,1_1,0.08,0.03296,0.08154
539,1,1_1,0.08,0.03235,0.09406
540,1,1_1,0.08,0.02069,0.07556
541,1,1_1,0.08,0.06824,0.1177
542,1,1_1,0.08,0.03146,0.0788
543,1,1_1,0.08,0.0389,0.09076
544,1,1_1,0.08,0.04633,0.0978
545,1,1_1,0.08,0.0261,0.08594
546,1,1_1,0.08,0.03049,0.0841
547,1,1_1,0.08,0.01729,0.0721
548,1,1_1,0.08,0.0351,0.0931
549,1,1_1,0.08,0.0317,0.0805
550,1,1_1,0.08,0.02823,0.11743
551,1,1_1,0.08,0.02266,0.0722
552,1,1_1,0.08,0.04532,0.09705
553,1,1_1,0.08,0.01799,0.0804
554,1,1_1,0.08,0.01932,0.0688
555,1,1_1,0.08,0.0618,0.09973
556,1,1_1,0.08,0.0418,0.0981
557,1,1_1,0.08,0.03093,0.084
558,1,1_1,0.08,0.04514,0.1146
559,1,1_1,0.08,0.04138,0.0898
560,1,1_1,0.08,0.02809,0.08075
561,1,1_1,0.08,0.04056,0.09424
562,1,1_1,0.08,0.06052,0.1198
563,1,1_1,0.08,0.03342,0.0828
564,1,1_1,0.08,0.0539,0.1013
565,1,1_1,0.08,0.03094,0.0782
566,1,1_1,0.08,0.0312,0.0956
567,1,1_1,0.08,0.06287,0.11505
568,1,1_1,0.08,0.04236,0.09375
569,1,1_1,0.08,0.05878,0.1037
570,1,1_1,0.08,0.06934,0.141
571,1,1_1,0.08,0.0547,0.1035
572,1,1_1,0.08,0.03476,0.08484
573,1,1_1,0.08,0.02122,0.0769
574,1,1_1,0.08,0.02545,0.07513
575,1,1_1,0.08,0.05182,0.1102
576,1,1_1,0.08,0.03397,0.0873
577,1,1_1,0.08,0.02379,0.08014
578,1,1_1,0.08,0.02835,0.0859
579,1,1_1,0.08,0.04987,0.1041
580,1,1_1,0.08,0.05356,0.1146
581,1,1_1,0.08,0.02217,0.0752
582,1,1_1,0.08,0.03226,0.11115
583,1,1_1,0.08,0.03915,0.09595
584,1,1_1,0.08,0.02411,0.0785
585,1,1_1,0.08,0.0713,0.1283
586,1,1_1,0.08,0.04144,0.12445
587,1,1_1,0.08,0.06537,0.10986
588,1,1_1,0.08,0.06024,0.121
589,1,1_1,0.08,0.05563,0.0943
590,1,1_1,0.08,0.0637,0.1184
591,1,1_1,0.08,0.0324,0.07513
592,1,1_1,0.08,0.04474,0.1061
593,1,1_1,0.08,0.03784,0.0842
594,1,1_1,0.08,0.04016,0.09656
595,1,1_1,0.08,0.05545,0.0968
596,1,1_1,0.08,0.04382,0.0848
597,1,1_1,0.08,0.04562,0.0902
598,1,1_1,0.08,0.04724,0.1225
599,1,1_1,0.08,0.02278,0.0979
600,1,1_1,0.08,0.05038,0.1043
601,1,1_1,0.08,0.06464,0.1208
602,1,1_1,0.08,0.0348,0.0961
603,1,1_1,0.08,0.02217,0.07153
604,1,1_1,0.08,0.04272,0.0999
605,1,1_1,0.08,0.03818,0.0966
606,1,1_1,0.08,0.02919,0.0779
607,1,1_1,0.08,0.04422,0.0947
608,1,1_1,0.08,0.03326,0.081
609,1,1_1,0.08,0.04556,0.1049
610,1,1_1,0.08,0.02637,0.0745
611,1,1_1,0.08,0.05905,0.1411
612,1,1_1,0.08,0.04572,0.09296
613,1,1_1,0.08,0.04956,0.1202
614,1,1_1,0.08,0.04626,0.1036
615,1,1_1,0.08,0.02312,0.0791
616,1,1_1,0.08,0.03317,0.0862
617,1,1_1,0.08,0.0331,0.09344
618,1,1_1,0.08,0.03247,0.08295
619,1,1_1,0.08,0.0424,0.09357
620,1,1_1,0.08,0.0707,0.0955
621,1,1_1,0.08,0.06635,0.129
622,1,1_1,0.08,0.0694,0.1193
623,1,1_1,0.08,0.0186,0.0741
624,1,1_1,0.08,0.0422,0.0921
625,1,1_1,0.08,0.07495,0.1697
626,1,1_1,0.08,0.054,0.09985
627,1,1_1,0.08,0.03705,0.10803
628,1,1_1,0.08,0.0519,0.1083
629,1,1_1,0.08,0.04993,0.0905
630,1,1_1,0.08,0.03265,0.08453
631,1,1_1,0.08,0.06976,0.1315
632,1,1_1,0.08,0.0431,0.10767
633,1,1_1,0.08,0.03117,0.0824
